epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,15610.6,0.90666,0.49287,0.91832,0.92128,0.8907,0.92954,0.72506,0.97815,0.50047,0.9724,0.000996313,0.000996313,0.000996313
43,16863.6,0.90077,0.49263,0.92077,0.89429,0.85085,0.91684,0.70404,0.99173,0.51616,0.96823,0.000990125,0.000990125,0.000990125
44,17825.9,0.90831,0.48533,0.92258,0.91025,0.84656,0.90637,0.69508,0.97847,0.49539,0.96735,0.000983938,0.000983938,0.000983938
45,18786.8,0.90862,0.48996,0.92132,0.92267,0.89875,0.93263,0.72469,0.97504,0.50014,0.96471,0.00097775,0.00097775,0.00097775
46,19975.8,0.90129,0.48655,0.9153,0.9042,0.82482,0.88305,0.67674,0.97815,0.5076,0.96307,0.000971562,0.000971562,0.000971562
47,20899.5,0.89828,0.48329,0.92,0.87569,0.83289,0.88477,0.67793,0.97933,0.50611,0.96516,0.000965375,0.000965375,0.000965375
48,21676.1,0.8907,0.47575,0.91527,0.89738,0.87234,0.91991,0.7055,0.98361,0.50163,0.96553,0.000959187,0.000959187,0.000959187
49,22640,0.88608,0.47772,0.91547,0.90406,0.8823,0.92347,0.70758,0.99037,0.50382,0.96456,0.000953,0.000953,0.000953
50,23600.3,0.88211,0.47237,0.91291,0.90451,0.8452,0.90686,0.69098,0.98259,0.5091,0.96553,0.000946812,0.000946812,0.000946812
51,24188.1,0.88339,0.47585,0.9135,0.87208,0.87119,0.89222,0.68829,0.98022,0.50061,0.96243,0.000940625,0.000940625,0.000940625
52,24781.4,0.88357,0.47327,0.91055,0.87842,0.85397,0.89799,0.69877,0.97129,0.49425,0.96039,0.000934438,0.000934438,0.000934438
53,25420.1,0.8836,0.46997,0.91098,0.87989,0.84314,0.91377,0.69615,0.98399,0.49053,0.97088,0.00092825,0.00092825,0.00092825
54,26064.8,0.88193,0.46937,0.91001,0.90812,0.85927,0.91398,0.70299,0.97579,0.4943,0.96575,0.000922063,0.000922063,0.000922063
55,26694.3,0.87246,0.46118,0.91136,0.84042,0.90043,0.91678,0.70644,0.98339,0.49417,0.96601,0.000915875,0.000915875,0.000915875
56,27383.9,0.87766,0.46956,0.91011,0.83199,0.83031,0.88613,0.67739,0.97673,0.50098,0.96954,0.000909688,0.000909688,0.000909688
57,28008.3,0.86363,0.46225,0.90612,0.88814,0.84742,0.88715,0.6808,0.9798,0.50529,0.96533,0.0009035,0.0009035,0.0009035
58,28525.6,0.86323,0.46475,0.90374,0.88273,0.84479,0.90871,0.69696,0.975,0.48577,0.96585,0.000897313,0.000897313,0.000897313
59,28927.2,0.86935,0.46426,0.91097,0.86267,0.89055,0.92747,0.70805,0.98195,0.48975,0.96633,0.000891125,0.000891125,0.000891125
60,29341.1,0.8599,0.45862,0.90432,0.87732,0.85087,0.90242,0.67911,0.98048,0.48538,0.97441,0.000884938,0.000884938,0.000884938
61,29792.5,0.86806,0.46474,0.91012,0.8301,0.89804,0.91707,0.69056,0.99555,0.50061,0.97136,0.00087875,0.00087875,0.00087875
62,30215.2,0.85514,0.45452,0.9034,0.87691,0.84725,0.90419,0.6987,0.97259,0.49244,0.96825,0.000872563,0.000872563,0.000872563
63,30646.7,0.86081,0.45521,0.90757,0.89027,0.82511,0.91083,0.68845,0.98476,0.48629,0.97042,0.000866375,0.000866375,0.000866375
64,31412.5,0.85059,0.4565,0.90268,0.91004,0.8689,0.92559,0.72553,0.97483,0.48995,0.96874,0.000860188,0.000860188,0.000860188
65,32377.8,0.85226,0.45445,0.90331,0.87378,0.91248,0.93077,0.71696,0.97853,0.47945,0.97434,0.000854,0.000854,0.000854
66,33482.1,0.84974,0.44887,0.90234,0.85524,0.90739,0.92597,0.71453,0.97134,0.48465,0.96794,0.000847813,0.000847813,0.000847813
67,34414.3,0.844,0.44761,0.89838,0.91232,0.86659,0.92153,0.71068,0.97782,0.50364,0.96631,0.000841625,0.000841625,0.000841625
68,35386.6,0.84475,0.45097,0.90298,0.87102,0.84435,0.90371,0.69906,0.98049,0.48433,0.97313,0.000835438,0.000835438,0.000835438
69,36396.9,0.84247,0.44665,0.90105,0.89904,0.82392,0.90493,0.68647,0.98325,0.49232,0.97024,0.00082925,0.00082925,0.00082925
70,37133.1,0.84273,0.44622,0.90261,0.90636,0.90553,0.92967,0.7249,0.97583,0.48011,0.96924,0.000823063,0.000823063,0.000823063
71,37751.2,0.8306,0.44117,0.90141,0.87737,0.88737,0.9272,0.71018,0.97143,0.4848,0.97106,0.000816875,0.000816875,0.000816875
72,38369.3,0.83323,0.4451,0.89523,0.85466,0.90703,0.92124,0.71158,0.97734,0.48366,0.96819,0.000810688,0.000810688,0.000810688
73,38960.3,0.83,0.43672,0.89541,0.85269,0.91696,0.92333,0.7143,0.98007,0.48479,0.96818,0.0008045,0.0008045,0.0008045
74,40566.9,0.82206,0.4375,0.89679,0.84875,0.91268,0.92318,0.71473,0.98149,0.49396,0.97593,0.000798313,0.000798313,0.000798313
75,41716.9,0.83139,0.4407,0.90347,0.93163,0.84296,0.92906,0.70858,0.98939,0.48137,0.97574,0.000792125,0.000792125,0.000792125
